Group,List,List_subgroup,List_short_name,List_long_name,Sort,MSFD reporting 2012 (Art. 8-9-10),MSFD reporting 2014 (Art. 11),MSFD reporting 2016 (Art. 13-14),MSFD reporting 2018 (Art. 8-9-10),
Area,Country,Country - EU,AT,Austria,1,Y,Y,Y,Y,
Area,Country,Country - EU,BE,Belgium,2,Y,Y,Y,Y,
Area,Country,Country - EU,BG,Bulgaria,3,Y,Y,Y,Y,
Area,Country,Country - EU,CY,Cyprus,4,Y,Y,Y,Y,
Area,Country,Country - EU,CZ,Czech Republic,5,Y,Y,Y,Y,
Area,Country,Country - EU,DE,Germany,6,Y,Y,Y,Y,
Area,Country,Country - EU,DK,Denmark,7,Y,Y,Y,Y,
Area,Country,Country - EU,EE,Estonia,8,Y,Y,Y,Y,
Area,Country,Country - EU,EL,Greece,9,Y,Y,Y,Y,
Area,Country,Country - EU,ES,Spain,10,Y,Y,Y,Y,
Area,Country,Country - EU,FI,Finland,11,Y,Y,Y,Y,
Area,Country,Country - EU,FR,France,12,Y,Y,Y,Y,
Area,Country,Country - EU,HR,Croatia,13,Y,Y,Y,Y,
Area,Country,Country - EU,HU,Hungary,14,Y,Y,Y,Y,
Area,Country,Country - EU,IE,Ireland,15,Y,Y,Y,Y,
Area,Country,Country - EU,IT,Italy,16,Y,Y,Y,Y,
Area,Country,Country - EU,LT,Lithuania,17,Y,Y,Y,Y,
Area,Country,Country - EU,LU,Luxembourg,18,Y,Y,Y,Y,
Area,Country,Country - EU,LV,Latvia,19,Y,Y,Y,Y,
Area,Country,Country - EU,MT,Malta,20,Y,Y,Y,Y,
Area,Country,Country - EU,NL,Netherlands,21,Y,Y,Y,Y,
Area,Country,Country - EU,PL,Poland,22,Y,Y,Y,Y,
Area,Country,Country - EU,PT,Portugal,23,Y,Y,Y,Y,
Area,Country,Country - EU,RO,Romania,24,Y,Y,Y,Y,
Area,Country,Country - EU,SE,Sweden,25,Y,Y,Y,Y,
Area,Country,Country - EU,SI,Slovenia,26,Y,Y,Y,Y,
Area,Country,Country - EU,SK,Slovakia,27,Y,Y,Y,Y,
